
('7', '0'):64.33161163330078
('11', '1'):77.83689880371094
('12', '0'):88.59020233154297
('5', '0'):94.80323791503906
('8', '2'):4697.5634765625
('11', '3'):6650.7431640625

('12', '2'):8.174590110778809
('12', '1'):10.98122787475586
('11', '2'):17.565824508666992
('10', '2'):30.4783878326416
('10', '1'):35.29804611206055
('10', '0'):37.2109375
('8', '1'):48.1494140625
('7', '1'):49.98273849487305
('8', '0'):61.41976547241211
('7', '0'):62.75386428833008
('11', '1'):69.70040130615234
('5', '0'):84.41829681396484
('12', '0'):86.51809692382812
('8', '2'):4940.7412109375
('11', '3'):6722.08203125

('12', '2'):12.735942840576172
('12', '1'):16.4226016998291
('11', '2'):21.243772506713867
('10', '2'):36.910621643066406
('10', '1'):38.76168441772461
('10', '0'):41.61320114135742
('7', '1'):60.755672454833984
('8', '1'):62.82748031616211
('7', '0'):69.71452331542969
('8', '0'):74.22171783447266
('11', '1'):84.22821044921875
('12', '0'):93.25987243652344
('5', '0'):103.62237548828125
('8', '2'):5168.224609375
('11', '3'):6799.2744140625

('12', '2'):6.378087997436523
